dataset,model,num_nodi,size_annealer,size_label,accuracy,precision,recall,f1,auc,training_time_s,error
iris,FullIsing,1,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,9.4342830000096,
iris,Net1L,1,4,x1F,0.65,0.7142857142857143,0.5,0.5882352941176471,0.5800000000000001,9.440543300006539,
iris,Net1L,2,4,x1F,0.6,0.625,0.5,0.5555555555555556,0.5800000000000001,18.03617119998671,
iris,Net1L,3,4,x1F,0.6,0.6666666666666666,0.4,0.5,0.5800000000000001,26.856771599967033,
iris,Net1L,5,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,44.098884199978784,
iris,Net1L,8,4,x1F,0.6,0.625,0.5,0.5555555555555556,0.5800000000000001,69.88107009994565,
iris,FullIsing,1,8,x2F,0.6,0.6,0.6,0.6,0.5800000000000001,10.538750000006985,
iris,Net1L,1,8,x2F,0.55,0.5555555555555556,0.5,0.5263157894736842,0.5800000000000001,10.597220400057267,
iris,Net1L,2,8,x2F,0.6,0.6,0.6,0.6,0.5800000000000001,20.430206699995324,
iris,Net1L,3,8,x2F,0.6,0.6666666666666666,0.4,0.5,0.59,30.038917099998798,
iris,Net1L,5,8,x2F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.56,49.64022840000689,
iris,Net1L,8,8,x2F,0.55,0.5714285714285714,0.4,0.47058823529411764,0.5599999999999999,78.61593979998725,
iris,FullIsing,1,12,x3F,0.5,0.0,0.0,0.0,0.43,11.828590199991595,
iris,Net1L,1,12,x3F,0.45,0.4666666666666667,0.7,0.56,0.42,11.763373200024944,
iris,Net1L,2,12,x3F,0.4,0.4375,0.7,0.5384615384615384,0.5700000000000001,22.645555199997034,
iris,Net1L,3,12,x3F,0.55,0.5263157894736842,1.0,0.6896551724137931,0.7,33.68221880000783,
iris,Net1L,5,12,x3F,0.5,0.0,0.0,0.0,0.75,55.29170919995522,
iris,Net1L,8,12,x3F,0.4,0.4444444444444444,0.8,0.5714285714285714,0.57,88.31344989995705,
iris,FullIsing,1,16,x4F,0.5,0.5,1.0,0.6666666666666666,0.56,13.126067400036845,
iris,Net1L,1,16,x4F,0.55,0.6,0.3,0.4,0.5700000000000001,13.069176199962385,
iris,Net1L,2,16,x4F,0.65,0.6363636363636364,0.7,0.6666666666666666,0.63,25.399706199998036,
iris,Net1L,3,16,x4F,0.55,0.5294117647058824,0.9,0.6666666666666666,0.77,37.67821310000727,
iris,Net1L,5,16,x4F,0.4,0.4166666666666667,0.5,0.45454545454545453,0.44,62.11590650002472,
iris,Net1L,8,16,x4F,0.55,1.0,0.1,0.18181818181818182,0.47000000000000003,99.10774070001207,
iris,FullIsing,1,10,10,0.5,0.5,0.7,0.5833333333333334,0.57,11.056261999998242,
iris,Net1L,1,10,10,0.55,0.6,0.3,0.4,0.5800000000000001,11.121150200022385,
iris,Net1L,2,10,10,0.55,0.6,0.3,0.4,0.5800000000000001,21.476404000015464,
iris,Net1L,3,10,10,0.4,0.4375,0.7,0.5384615384615384,0.57,31.90598709997721,
iris,Net1L,5,10,10,0.55,0.6,0.3,0.4,0.5700000000000001,52.62652769999113,
iris,Net1L,8,10,10,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5199999999999999,83.59134510002332,
iris,FullIsing,1,20,20,0.5,0.5,1.0,0.6666666666666666,0.5199999999999999,14.641810400004033,
iris,Net1L,1,20,20,0.45,0.45454545454545453,0.5,0.47619047619047616,0.45999999999999996,14.448677700012922,
iris,Net1L,2,20,20,0.6,0.625,0.5,0.5555555555555556,0.5700000000000001,28.377928300003987,
iris,Net1L,3,20,20,0.45,0.42857142857142855,0.3,0.35294117647058826,0.43,42.020862700010184,
iris,Net1L,5,20,20,0.65,0.6666666666666666,0.6,0.631578947368421,0.66,69.62269380001817,
iris,Net1L,8,20,20,0.55,1.0,0.1,0.18181818181818182,0.57,111.03752860001987,
iris,FullIsing,1,30,30,0.5,0.5,1.0,0.6666666666666666,0.49,19.998166500008665,
iris,Net1L,1,30,30,0.45,0.4666666666666667,0.7,0.56,0.47,19.296465299965348,
iris,Net1L,2,30,30,0.45,0.45454545454545453,0.5,0.47619047619047616,0.47,37.70329949998995,
iris,Net1L,3,30,30,0.65,1.0,0.3,0.46153846153846156,0.75,56.43794919998618,
iris,Net1L,5,30,30,0.65,1.0,0.3,0.46153846153846156,0.45999999999999996,117.33619280002313,
iris,Net1L,8,30,30,0.7,1.0,0.4,0.5714285714285714,0.6799999999999999,223.69387999997707,
iris,FullIsing,1,50,50,0.65,1.0,0.3,0.46153846153846156,0.65,53.55619570001727,
iris,Net1L,1,50,50,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5599999999999999,48.99661460000789,
iris,Net1L,2,50,50,1.0,1.0,1.0,1.0,1.0,98.69339689996559,
iris,Net1L,3,50,50,0.55,0.5714285714285714,0.4,0.47058823529411764,0.5499999999999999,146.27259780000895,
iris,Net1L,5,50,50,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5599999999999999,243.02346339996438,
iris,Net1L,8,50,50,1.0,1.0,1.0,1.0,1.0,388.217302199977,
