dataset,model,num_nodi,size_annealer,size_label,accuracy,precision,recall,f1,auc,training_time_s,error
xor_2d,FullIsing,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.895625,33.602842000022065,
xor_2d,Net1L,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.88375,33.62921169999754,
xor_2d,Net1L,2,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,66.04569369996898,
xor_2d,Net1L,3,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.999375,98.45836430002237,
xor_2d,Net1L,5,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.9881249999999999,162.8362259999849,
xor_2d,Net1L,8,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,259.3144457999733,
xor_2d,FullIsing,1,4,x2F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.891875,35.12759079999523,
xor_2d,Net1L,1,4,x2F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.92625,35.08284760004608,
xor_2d,Net1L,2,4,x2F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,69.30367649998516,
xor_2d,Net1L,3,4,x2F,0.9875,1.0,0.975,0.9873417721518988,1.0,103.44285640004091,
xor_2d,Net1L,5,4,x2F,1.0,1.0,1.0,1.0,1.0,171.35154020000482,
xor_2d,Net1L,8,4,x2F,1.0,1.0,1.0,1.0,1.0,273.5823825999978,
xor_2d,FullIsing,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,37.06494179996662,
xor_2d,Net1L,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,37.153372399974614,
xor_2d,Net1L,2,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,73.32944930001395,
xor_2d,Net1L,3,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,109.67550860001938,
xor_2d,Net1L,5,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,182.06942930002697,
xor_2d,Net1L,8,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,291.61157100001583,
xor_2d,FullIsing,1,8,x4F,0.825,0.8095238095238095,0.85,0.8292682926829268,0.925625,38.860728800005745,
xor_2d,Net1L,1,8,x4F,0.825,0.8421052631578947,0.8,0.8205128205128205,0.8925000000000001,39.07013219996588,
xor_2d,Net1L,2,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,77.17020519997459,
xor_2d,Net1L,3,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,115.4418223000248,
xor_2d,Net1L,5,8,x4F,0.975,0.975,0.975,0.975,0.999375,191.97334650001721,
xor_2d,Net1L,8,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,306.09547950001433,
xor_2d,FullIsing,1,10,10,0.825,0.8095238095238095,0.85,0.8292682926829268,0.92625,41.25084550003521,
xor_2d,Net1L,1,10,10,0.8375,0.9090909090909091,0.75,0.821917808219178,0.8912500000000001,41.27741189999506,
xor_2d,Net1L,2,10,10,0.975,0.975,0.975,0.975,0.99875,81.7158819999895,
xor_2d,Net1L,3,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,122.5639155000099,
xor_2d,Net1L,5,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.99875,204.0296098999679,
xor_2d,Net1L,8,10,10,0.975,0.975,0.975,0.975,0.999375,326.35231220000423,
xor_2d,FullIsing,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,54.40610690001631,
xor_2d,Net1L,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,53.933115100022405,
xor_2d,Net1L,2,20,20,0.975,1.0,0.95,0.9743589743589743,0.999375,108.75191419996554,
xor_2d,Net1L,3,20,20,0.9875,1.0,0.975,0.9873417721518988,0.9987499999999999,162.28531170001952,
xor_2d,Net1L,5,20,20,0.975,0.9523809523809523,1.0,0.975609756097561,0.9974999999999999,270.8274508000468,
xor_2d,Net1L,8,20,20,0.975,0.975,0.975,0.975,0.9981249999999999,430.6744926000247,
xor_2d,FullIsing,1,30,30,0.7875,0.7090909090909091,0.975,0.8210526315789474,0.923125,72.24670700001298,
xor_2d,Net1L,1,30,30,0.85,0.8181818181818182,0.9,0.8571428571428571,0.9243750000000001,70.81558059999952,
xor_2d,Net1L,2,30,30,0.975,0.9523809523809523,1.0,0.975609756097561,0.9981249999999999,143.69569829996908,
xor_2d,Net1L,3,30,30,1.0,1.0,1.0,1.0,1.0,215.1291768999654,
xor_2d,Net1L,5,30,30,1.0,1.0,1.0,1.0,1.0,355.053590000025,
xor_2d,Net1L,8,30,30,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,568.066663799982,
xor_2d,FullIsing,1,50,50,0.65,0.6,0.9,0.72,0.84625,125.02025270002196,
xor_2d,Net1L,1,50,50,0.85,0.8181818181818182,0.9,0.8571428571428571,0.923125,117.38811569998506,
xor_2d,Net1L,2,50,50,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,244.35349519999,
xor_2d,Net1L,3,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,367.5798790999688,
xor_2d,Net1L,5,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,605.3369943000143,
xor_2d,Net1L,8,50,50,0.9625,0.9302325581395349,1.0,0.963855421686747,1.0,965.7323711999925,
